
2024/01/26 (07:46:10) | ===> btop++ v.1.3.0
2024/01/26 (07:46:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/26 (07:46:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (08:54:56) | ===> btop++ v.1.3.0
2024/01/27 (08:54:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (08:54:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (20:51:14) | ===> btop++ v.1.3.0
2024/02/03 (20:51:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/03 (20:51:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/04 (19:08:11) | ===> btop++ v.1.3.0
2024/02/04 (19:08:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/04 (19:08:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (13:13:29) | ===> btop++ v.1.3.2
2024/02/20 (13:13:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/20 (13:13:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/21 (01:23:45) | ===> btop++ v.1.3.2
2024/02/21 (01:23:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/21 (01:23:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/26 (09:13:05) | ===> btop++ v.1.3.2
2024/02/26 (09:13:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/26 (09:13:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/26 (14:20:45) | ===> btop++ v.1.3.2
2024/02/26 (14:20:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/26 (14:20:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/26 (18:39:24) | ===> btop++ v.1.3.2
2024/02/26 (18:39:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/26 (18:39:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/26 (19:37:07) | ===> btop++ v.1.3.2
2024/02/26 (19:37:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/26 (19:37:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (01:35:57) | ===> btop++ v.1.3.2
2024/02/27 (01:35:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/27 (01:35:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (14:08:07) | ===> btop++ v.1.3.2
2024/02/27 (14:08:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/27 (14:08:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (15:32:03) | ===> btop++ v.1.3.2
2024/02/27 (15:32:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/27 (15:32:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (18:29:03) | ===> btop++ v.1.3.2
2024/02/27 (18:29:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/27 (18:29:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (20:39:16) | ===> btop++ v.1.3.2
2024/02/27 (20:39:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/27 (20:39:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/28 (18:27:29) | ===> btop++ v.1.3.2
2024/02/28 (18:27:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/28 (18:27:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/01 (16:26:26) | ===> btop++ v.1.3.2
2024/03/01 (16:26:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/01 (16:26:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/01 (17:30:11) | ===> btop++ v.1.3.2
2024/03/01 (17:30:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/01 (17:30:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/15 (16:31:08) | ===> btop++ v.1.3.2
2024/03/15 (16:31:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/15 (16:31:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/15 (17:44:59) | ===> btop++ v.1.3.2
2024/03/15 (17:44:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/15 (17:44:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/22 (00:20:15) | ===> btop++ v.1.3.2
2024/03/22 (00:20:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/22 (00:20:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/04 (11:33:41) | ===> btop++ v.1.3.2
2024/09/04 (11:33:41) | ERROR: Stall in Runner thread, restarting!
